run	replicate	layout	genome	ploidy	taxonKeys
SRR1946536	SAMN03327380	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946537	SAMN03327381	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946538	SAMN03327382	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946539	SAMN03327383	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946540	SAMN03327384	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946541	SAMN03327385	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946542	SAMN03327386	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946543	SAMN03327387	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946544	SAMN03327388	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946545	SAMN03327389	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946546	SAMN03327390	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946547	SAMN03327391	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946548	SAMN03327392	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946549	SAMN03327393	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946550	SAMN03327394	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945479	SAMN03326323	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946551	SAMN03327395	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946552	SAMN03327396	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946553	SAMN03327397	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946554	SAMN03327398	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945480	SAMN03326324	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945481	SAMN03326325	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945482	SAMN03326326	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945483	SAMN03326327	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945484	SAMN03326328	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945485	SAMN03326329	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945436	SAMN03326280	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945486	SAMN03326330	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945487	SAMN03326331	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945488	SAMN03326332	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945489	SAMN03326333	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945490	SAMN03326334	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945491	SAMN03326335	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945437	SAMN03326281	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946555	SAMN03327399	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946556	SAMN03327400	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946557	SAMN03327401	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946558	SAMN03327402	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946559	SAMN03327403	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946560	SAMN03327404	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945492	SAMN03326336	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946561	SAMN03327405	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946562	SAMN03327406	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946563	SAMN03327407	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946564	SAMN03327408	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945438	SAMN03326282	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945493	SAMN03326337	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945494	SAMN03326338	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945495	SAMN03326339	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945496	SAMN03326340	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945497	SAMN03326341	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945498	SAMN03326342	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945499	SAMN03326343	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945500	SAMN03326344	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945501	SAMN03326345	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945502	SAMN03326346	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945503	SAMN03326347	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945504	SAMN03326348	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945505	SAMN03326349	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945506	SAMN03326350	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945507	SAMN03326351	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945508	SAMN03326352	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945509	SAMN03326353	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945510	SAMN03326354	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945511	SAMN03326355	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945512	SAMN03326356	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946565	SAMN03327409	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1946566	SAMN03327410	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945513	SAMN03326357	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945514	SAMN03326358	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945515	SAMN03326359	PE	arabidopsis_thaliana	2	3052436 7758053 3052446
SRR1945516	SAMN03326360	SE	arabidopsis_thaliana	2	3052436 7758053 3052446
