run	replicate	layout	genome	ploidy	taxonKeys
SRR11128851	SAMN14054844	PE	brachypodium_distachyon	2	5290143
SRR11128850	SAMN14054845	PE	brachypodium_distachyon	2	5290143
SRR11128601	SAMN14054846	PE	brachypodium_distachyon	2	5290143
SRR11128762	SAMN14054847	PE	brachypodium_distachyon	2	5290143
SRR11128740	SAMN14054849	PE	brachypodium_distachyon	2	5290143
SRR11128729	SAMN14054850	PE	brachypodium_distachyon	2	5290143
SRR11128751	SAMN14054848	PE	brachypodium_distachyon	2	5290143
SRR11128718	SAMN14054851	PE	brachypodium_distachyon	2	5290143
SRR11128707	SAMN14054852	PE	brachypodium_distachyon	2	5290143
SRR11128696	SAMN14054853	PE	brachypodium_distachyon	2	5290143
SRR11128849	SAMN14054854	PE	brachypodium_distachyon	2	5290143
SRR11128838	SAMN14054855	PE	brachypodium_distachyon	2	5290143
SRR11128827	SAMN14054856	PE	brachypodium_distachyon	2	5290143
SRR11128678	SAMN14054857	PE	brachypodium_distachyon	2	5290143
SRR11128667	SAMN14054858	PE	brachypodium_distachyon	2	5290143
SRR11128656	SAMN14054859	PE	brachypodium_distachyon	2	5290143
SRR11128634	SAMN14054861	PE	brachypodium_distachyon	2	5290143
SRR11128645	SAMN14054860	PE	brachypodium_distachyon	2	5290143
SRR11128623	SAMN14054862	PE	brachypodium_distachyon	2	5290143
SRR11128612	SAMN14054863	PE	brachypodium_distachyon	2	5290143
SRR11128600	SAMN14054864	PE	brachypodium_distachyon	2	5290143
SRR11128589	SAMN14054865	PE	brachypodium_distachyon	2	5290143
SRR11128578	SAMN14054866	PE	brachypodium_distachyon	2	5290143
SRR11128817	SAMN14054867	PE	brachypodium_distachyon	2	5290143
SRR11128795	SAMN14054869	PE	brachypodium_distachyon	2	5290143
SRR11128784	SAMN14054870	PE	brachypodium_distachyon	2	5290143
SRR11128773	SAMN14054871	PE	brachypodium_distachyon	2	5290143
SRR11128764	SAMN14054872	PE	brachypodium_distachyon	2	5290143
SRR11128806	SAMN14054868	PE	brachypodium_distachyon	2	5290143
SRR11128763	SAMN14054873	PE	brachypodium_distachyon	2	5290143
SRR11128761	SAMN14054874	PE	brachypodium_distachyon	2	5290143
SRR11128760	SAMN14054875	PE	brachypodium_distachyon	2	5290143
SRR11128759	SAMN14054876	PE	brachypodium_distachyon	2	5290143
SRR11128758	SAMN14054877	PE	brachypodium_distachyon	2	5290143
SRR11128757	SAMN14054878	PE	brachypodium_distachyon	2	5290143
SRR11128756	SAMN14054879	PE	brachypodium_distachyon	2	5290143
SRR11128755	SAMN14054880	PE	brachypodium_distachyon	2	5290143
SRR11128754	SAMN14054881	PE	brachypodium_distachyon	2	5290143
SRR11128753	SAMN14054882	PE	brachypodium_distachyon	2	5290143
SRR11128752	SAMN14054883	PE	brachypodium_distachyon	2	5290143
SRR11128750	SAMN14054884	PE	brachypodium_distachyon	2	5290143
SRR11128749	SAMN14054885	PE	brachypodium_distachyon	2	5290143
SRR11128748	SAMN14054886	PE	brachypodium_distachyon	2	5290143
SRR11128747	SAMN14054887	PE	brachypodium_distachyon	2	5290143
SRR11128746	SAMN14054888	PE	brachypodium_distachyon	2	5290143
SRR11128745	SAMN14054889	PE	brachypodium_distachyon	2	5290143
SRR11128744	SAMN14054890	PE	brachypodium_distachyon	2	5290143
SRR11128743	SAMN14054891	PE	brachypodium_distachyon	2	5290143
SRR11128742	SAMN14054892	PE	brachypodium_distachyon	2	5290143
SRR11128741	SAMN14054893	PE	brachypodium_distachyon	2	5290143
SRR11128739	SAMN14054894	PE	brachypodium_distachyon	2	5290143
SRR11128738	SAMN14054895	PE	brachypodium_distachyon	2	5290143
SRR11128737	SAMN14054896	PE	brachypodium_distachyon	2	5290143
SRR11128736	SAMN14054897	PE	brachypodium_distachyon	2	5290143
SRR11128735	SAMN14054898	PE	brachypodium_distachyon	2	5290143
SRR11128734	SAMN14054899	PE	brachypodium_distachyon	2	5290143
SRR10305128	SAMN13022353	PE	buddleja_alternifolia	2	3173337
SRR10305072	SAMN13022376	PE	buddleja_alternifolia	2	3173337
SRR10305071	SAMN13022377	PE	buddleja_alternifolia	2	3173337
SRR10305070	SAMN13022378	PE	buddleja_alternifolia	2	3173337
SRR10305069	SAMN13022379	PE	buddleja_alternifolia	2	3173337
SRR10305068	SAMN13022380	PE	buddleja_alternifolia	2	3173337
SRR10305066	SAMN13022381	PE	buddleja_alternifolia	2	3173337
SRR10305065	SAMN13022382	PE	buddleja_alternifolia	2	3173337
SRR10305064	SAMN13022383	PE	buddleja_alternifolia	2	3173337
SRR10305063	SAMN13022384	PE	buddleja_alternifolia	2	3173337
SRR10305062	SAMN13022385	PE	buddleja_alternifolia	2	3173337
SRR10305061	SAMN13022386	PE	buddleja_alternifolia	2	3173337
SRR10305060	SAMN13022387	PE	buddleja_alternifolia	2	3173337
SRR10305059	SAMN13022388	PE	buddleja_alternifolia	2	3173337
SRR10305058	SAMN13022389	PE	buddleja_alternifolia	2	3173337
SRR10305057	SAMN13022390	PE	buddleja_alternifolia	2	3173337
SRR10305055	SAMN13022391	PE	buddleja_alternifolia	2	3173337
SRR10305054	SAMN13022392	PE	buddleja_alternifolia	2	3173337
SRR10305053	SAMN13022393	PE	buddleja_alternifolia	2	3173337
SRR10305052	SAMN13022394	PE	buddleja_alternifolia	2	3173337
SRR10305051	SAMN13022395	PE	buddleja_alternifolia	2	3173337
SRR10305123	SAMN13022358	PE	buddleja_alternifolia	2	3173337
SRR10305112	SAMN13022359	PE	buddleja_alternifolia	2	3173337
SRR10305050	SAMN13022396	PE	buddleja_alternifolia	2	3173337
SRR10305049	SAMN13022397	PE	buddleja_alternifolia	2	3173337
SRR10305048	SAMN13022398	PE	buddleja_alternifolia	2	3173337
SRR10305047	SAMN13022399	PE	buddleja_alternifolia	2	3173337
SRR10305046	SAMN13022400	PE	buddleja_alternifolia	2	3173337
SRR10305044	SAMN13022401	PE	buddleja_alternifolia	2	3173337
SRR10305043	SAMN13022402	PE	buddleja_alternifolia	2	3173337
SRR10305042	SAMN13022403	PE	buddleja_alternifolia	2	3173337
SRR10305041	SAMN13022404	PE	buddleja_alternifolia	2	3173337
SRR10305040	SAMN13022405	PE	buddleja_alternifolia	2	3173337
SRR10305039	SAMN13022406	PE	buddleja_alternifolia	2	3173337
SRR10305038	SAMN13022407	PE	buddleja_alternifolia	2	3173337
SRR10305037	SAMN13022408	PE	buddleja_alternifolia	2	3173337
SRR10305036	SAMN13022409	PE	buddleja_alternifolia	2	3173337
SRR10305035	SAMN13022410	PE	buddleja_alternifolia	2	3173337
SRR10305033	SAMN13022411	PE	buddleja_alternifolia	2	3173337
SRR10305032	SAMN13022412	PE	buddleja_alternifolia	2	3173337
SRR10305031	SAMN13022413	PE	buddleja_alternifolia	2	3173337
SRR10305030	SAMN13022414	PE	buddleja_alternifolia	2	3173337
SRR10305029	SAMN13022415	PE	buddleja_alternifolia	2	3173337
SRR10305101	SAMN13022360	PE	buddleja_alternifolia	2	3173337
SRR10305127	SAMN13022361	PE	buddleja_alternifolia	2	3173337
SRR10305087	SAMN13022362	PE	buddleja_alternifolia	2	3173337
SRR10305086	SAMN13022363	PE	buddleja_alternifolia	2	3173337
SRR10305085	SAMN13022364	PE	buddleja_alternifolia	2	3173337
SRR10305084	SAMN13022365	PE	buddleja_alternifolia	2	3173337
SRR10305083	SAMN13022366	PE	buddleja_alternifolia	2	3173337
SRR10305082	SAMN13022367	PE	buddleja_alternifolia	2	3173337
SRR10305081	SAMN13022368	PE	buddleja_alternifolia	2	3173337
SRR10305080	SAMN13022369	PE	buddleja_alternifolia	2	3173337
SRR10305079	SAMN13022370	PE	buddleja_alternifolia	2	3173337
SRR10305077	SAMN13022371	PE	buddleja_alternifolia	2	3173337
SRR10305076	SAMN13022372	PE	buddleja_alternifolia	2	3173337
SRR10305075	SAMN13022373	PE	buddleja_alternifolia	2	3173337
SRR10305074	SAMN13022374	PE	buddleja_alternifolia	2	3173337
SRR10305073	SAMN13022375	PE	buddleja_alternifolia	2	3173337
SRR10305028	SAMN13022416	PE	buddleja_alternifolia	2	3173337
SRR10305027	SAMN13022417	PE	buddleja_alternifolia	2	3173337
SRR10305126	SAMN13022418	PE	buddleja_alternifolia	2	3173337
SRR10305125	SAMN13022419	PE	buddleja_alternifolia	2	3173337
SRR10305124	SAMN13022420	PE	buddleja_alternifolia	2	3173337
SRR10305122	SAMN13022421	PE	buddleja_alternifolia	2	3173337
SRR10305121	SAMN13022422	PE	buddleja_alternifolia	2	3173337
SRR10305120	SAMN13022423	PE	buddleja_alternifolia	2	3173337
SRR10305099	SAMN13022442	PE	buddleja_alternifolia	2	3173337
SRR10305098	SAMN13022443	PE	buddleja_alternifolia	2	3173337
SRR10305097	SAMN13022444	PE	buddleja_alternifolia	2	3173337
SRR10305096	SAMN13022445	PE	buddleja_alternifolia	2	3173337
SRR10305095	SAMN13022446	PE	buddleja_alternifolia	2	3173337
SRR10305094	SAMN13022447	PE	buddleja_alternifolia	2	3173337
SRR10305093	SAMN13022448	PE	buddleja_alternifolia	2	3173337
SRR10305092	SAMN13022449	PE	buddleja_alternifolia	2	3173337
SRR10305091	SAMN13022450	PE	buddleja_alternifolia	2	3173337
SRR10305090	SAMN13022451	PE	buddleja_alternifolia	2	3173337
SRR10305089	SAMN13022452	PE	buddleja_alternifolia	2	3173337
SRR10305088	SAMN13022453	PE	buddleja_alternifolia	2	3173337
SRR10305119	SAMN13022424	PE	buddleja_alternifolia	2	3173337
SRR10305118	SAMN13022425	PE	buddleja_alternifolia	2	3173337
SRR10305117	SAMN13022426	PE	buddleja_alternifolia	2	3173337
SRR10305116	SAMN13022427	PE	buddleja_alternifolia	2	3173337
SRR10305115	SAMN13022428	PE	buddleja_alternifolia	2	3173337
SRR10305114	SAMN13022429	PE	buddleja_alternifolia	2	3173337
SRR10305113	SAMN13022430	PE	buddleja_alternifolia	2	3173337
SRR10305111	SAMN13022431	PE	buddleja_alternifolia	2	3173337
SRR10305110	SAMN13022432	PE	buddleja_alternifolia	2	3173337
SRR10305109	SAMN13022433	PE	buddleja_alternifolia	2	3173337
SRR10305108	SAMN13022434	PE	buddleja_alternifolia	2	3173337
SRR10305107	SAMN13022435	PE	buddleja_alternifolia	2	3173337
SRR10305106	SAMN13022436	PE	buddleja_alternifolia	2	3173337
SRR10305105	SAMN13022437	PE	buddleja_alternifolia	2	3173337
SRR10305104	SAMN13022438	PE	buddleja_alternifolia	2	3173337
SRR10305103	SAMN13022439	PE	buddleja_alternifolia	2	3173337
SRR10305102	SAMN13022440	PE	buddleja_alternifolia	2	3173337
SRR10305100	SAMN13022441	PE	buddleja_alternifolia	2	3173337
ERR4472403	SAMEA7198735	PE	capsella_grandiflora	2	5375387
ERR4472404	SAMEA7198736	PE	capsella_grandiflora	2	5375387
ERR4472405	SAMEA7198737	PE	capsella_grandiflora	2	5375387
ERR4472406	SAMEA7198738	PE	capsella_grandiflora	2	5375387
ERR4472407	SAMEA7198739	PE	capsella_grandiflora	2	5375387
ERR4472408	SAMEA7198740	PE	capsella_grandiflora	2	5375387
ERR4472409	SAMEA7198741	PE	capsella_grandiflora	2	5375387
ERR4472410	SAMEA7198742	PE	capsella_grandiflora	2	5375387
ERR4472411	SAMEA7198743	PE	capsella_grandiflora	2	5375387
ERR4472412	SAMEA7198744	PE	capsella_grandiflora	2	5375387
ERR4472413	SAMEA7198745	PE	capsella_grandiflora	2	5375387
ERR4472414	SAMEA7198746	PE	capsella_grandiflora	2	5375387
ERR4472415	SAMEA7198747	PE	capsella_grandiflora	2	5375387
ERR4472416	SAMEA7198748	PE	capsella_grandiflora	2	5375387
ERR4472417	SAMEA7198749	PE	capsella_grandiflora	2	5375387
ERR4472418	SAMEA7198750	PE	capsella_grandiflora	2	5375387
ERR4472419	SAMEA7198751	PE	capsella_grandiflora	2	5375387
ERR4472420	SAMEA7198752	PE	capsella_grandiflora	2	5375387
ERR4472421	SAMEA7198753	PE	capsella_grandiflora	2	5375387
ERR4472422	SAMEA7198754	PE	capsella_grandiflora	2	5375387
ERR4472423	SAMEA7198755	PE	capsella_grandiflora	2	5375387
ERR4472424	SAMEA7198756	PE	capsella_grandiflora	2	5375387
ERR4472425	SAMEA7198757	PE	capsella_grandiflora	2	5375387
ERR4472426	SAMEA7198758	PE	capsella_grandiflora	2	5375387
ERR4472427	SAMEA7198759	PE	capsella_grandiflora	2	5375387
ERR4472428	SAMEA7198760	PE	capsella_grandiflora	2	5375387
ERR4472429	SAMEA7198761	PE	capsella_grandiflora	2	5375387
ERR4472430	SAMEA7198762	PE	capsella_grandiflora	2	5375387
ERR4472431	SAMEA7198763	PE	capsella_grandiflora	2	5375387
ERR4472432	SAMEA7198764	PE	capsella_grandiflora	2	5375387
ERR4472433	SAMEA7198765	PE	capsella_grandiflora	2	5375387
ERR4472434	SAMEA7198766	PE	capsella_grandiflora	2	5375387
ERR4472435	SAMEA7198767	PE	capsella_grandiflora	2	5375387
ERR4472436	SAMEA7198768	PE	capsella_grandiflora	2	5375387
ERR4472437	SAMEA7198769	PE	capsella_grandiflora	2	5375387
ERR4472438	SAMEA7198770	PE	capsella_grandiflora	2	5375387
ERR4472439	SAMEA7198771	PE	capsella_grandiflora	2	5375387
ERR4472440	SAMEA7198772	PE	capsella_grandiflora	2	5375387
ERR4472441	SAMEA7198773	PE	capsella_grandiflora	2	5375387
ERR4472442	SAMEA7198774	PE	capsella_grandiflora	2	5375387
ERR636123	SAMEA2784266	PE	capsella_rubella	2	5375425
ERR636124	SAMEA2784267	PE	capsella_rubella	2	5375425
ERR636125	SAMEA2784268	PE	capsella_rubella	2	5375425
ERR636126	SAMEA2784269	PE	capsella_rubella	2	5375425
ERR636127	SAMEA2784270	PE	capsella_rubella	2	5375425
ERR636128	SAMEA2784271	PE	capsella_rubella	2	5375425
ERR636129	SAMEA2784272	PE	capsella_rubella	2	5375425
ERR636130	SAMEA2784273	PE	capsella_rubella	2	5375425
ERR636131	SAMEA2784274	PE	capsella_rubella	2	5375425
ERR636132	SAMEA2784275	PE	capsella_rubella	2	5375425
ERR636133	SAMEA2784276	PE	capsella_rubella	2	5375425
ERR636134	SAMEA2784277	PE	capsella_rubella	2	5375425
ERR636135	SAMEA2784278	PE	capsella_rubella	2	5375425
ERR636136	SAMEA2784279	PE	capsella_rubella	2	5375425
ERR636137	SAMEA2784280	PE	capsella_rubella	2	5375425
ERR636138	SAMEA2784281	PE	capsella_rubella	2	5375425
ERR636139	SAMEA2784282	PE	capsella_rubella	2	5375425
ERR636140	SAMEA2784283	PE	capsella_rubella	2	5375425
ERR636141	SAMEA2784284	PE	capsella_rubella	2	5375425
ERR636142	SAMEA2784285	PE	capsella_rubella	2	5375425
ERR636143	SAMEA2784286	PE	capsella_rubella	2	5375425
ERR636144	SAMEA2784287	PE	capsella_rubella	2	5375425
ERR636145	SAMEA2784288	PE	capsella_rubella	2	5375425
ERR636146	SAMEA2784289	PE	capsella_rubella	2	5375425
ERR636147	SAMEA2784290	PE	capsella_rubella	2	5375425
ERR636148	SAMEA2784291	PE	capsella_rubella	2	5375425
ERR636149	SAMEA2784292	PE	capsella_rubella	2	5375425
ERR636150	SAMEA2784293	PE	capsella_rubella	2	5375425
ERR636151	SAMEA2784294	PE	capsella_rubella	2	5375425
